experiment,seed,ep_mean,ep_std,ep_min,ep_max,n_episodes
qdqn_skolik,2574,498.1,5.7,481.0,500.0,10
qdqn_skolik,3545,500.0,0.0,500.0,500.0,10
qdqn_skolik,5181,500.0,0.0,500.0,500.0,10
qdqn_2layer,2574,71.2,19.22,43.0,113.0,10
qdqn_2layer,3545,78.4,17.62,61.0,121.0,10
qdqn_2layer,5181,178.1,128.6,53.0,477.0,10
